"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jan 28 15:44:31 GMT 2023","Sat Jan 28 15:44:31 GMT 2023","0","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String)",""
"skipped","Sat Jan 28 15:44:31 GMT 2023","Sat Jan 28 15:44:31 GMT 2023","0","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String)",""
"passed","Sat Jan 28 15:44:00 GMT 2023","Sat Jan 28 15:44:06 GMT 2023","5421","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:44:11 GMT 2023","Sat Jan 28 15:44:12 GMT 2023","188","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
"passed","Sat Jan 28 15:44:15 GMT 2023","Sat Jan 28 15:44:20 GMT 2023","4515","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:44:25 GMT 2023","Sat Jan 28 15:44:27 GMT 2023","1967","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 15:44:13 GMT 2023","Sat Jan 28 15:44:13 GMT 2023","449","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 15:44:30 GMT 2023","Sat Jan 28 15:44:31 GMT 2023","1704","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 15:43:50 GMT 2023","Sat Jan 28 15:44:00 GMT 2023","10637","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"passed","Sat Jan 28 15:44:22 GMT 2023","Sat Jan 28 15:44:25 GMT 2023","2556","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:44:20 GMT 2023","Sat Jan 28 15:44:22 GMT 2023","2509","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 15:44:06 GMT 2023","Sat Jan 28 15:44:11 GMT 2023","5477","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:44:31 GMT 2023","Sat Jan 28 15:44:31 GMT 2023","19","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"passed","Sat Jan 28 15:44:27 GMT 2023","Sat Jan 28 15:44:30 GMT 2023","2901","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Sat Jan 28 15:44:12 GMT 2023","Sat Jan 28 15:44:12 GMT 2023","436","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:44:12 GMT 2023","Sat Jan 28 15:44:13 GMT 2023","586","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"passed","Sat Jan 28 15:44:13 GMT 2023","Sat Jan 28 15:44:15 GMT 2023","1888","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
