"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 28 15:34:51 GMT 2023","Sat Jan 28 15:34:56 GMT 2023","5508","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"skipped","Sat Jan 28 15:34:58 GMT 2023","Sat Jan 28 15:34:58 GMT 2023","0","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String)",""
"passed","Sat Jan 28 15:34:39 GMT 2023","Sat Jan 28 15:34:41 GMT 2023","1553","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Sat Jan 28 15:34:33 GMT 2023","Sat Jan 28 15:34:38 GMT 2023","4350","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:34:49 GMT 2023","Sat Jan 28 15:34:51 GMT 2023","2070","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 15:34:38 GMT 2023","Sat Jan 28 15:34:38 GMT 2023","361","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:34:39 GMT 2023","Sat Jan 28 15:34:39 GMT 2023","493","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 15:34:28 GMT 2023","Sat Jan 28 15:34:33 GMT 2023","4878","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:34:41 GMT 2023","Sat Jan 28 15:34:44 GMT 2023","3259","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:34:38 GMT 2023","Sat Jan 28 15:34:39 GMT 2023","423","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"passed","Sat Jan 28 15:34:44 GMT 2023","Sat Jan 28 15:34:46 GMT 2023","2275","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 15:34:56 GMT 2023","Sat Jan 28 15:34:58 GMT 2023","1778","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"skipped","Sat Jan 28 15:34:58 GMT 2023","Sat Jan 28 15:34:58 GMT 2023","0","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String)",""
"passed","Sat Jan 28 15:34:58 GMT 2023","Sat Jan 28 15:34:58 GMT 2023","29","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"passed","Sat Jan 28 15:34:46 GMT 2023","Sat Jan 28 15:34:49 GMT 2023","2430","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:34:20 GMT 2023","Sat Jan 28 15:34:28 GMT 2023","8287","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"passed","Sat Jan 28 15:34:38 GMT 2023","Sat Jan 28 15:34:38 GMT 2023","165","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
